url,title,price,address,type,cuisine
https://www.hungrygowhere.com/singapore/tiffany_cafe_restaurant/,Tiffany Cafe & Restaurant,$$,"2F Furama City Centre Singapore, 60 Eu Tong Sen Street, 059804",Cafe,Halal • International
https://www.hungrygowhere.com/singapore/hua-ting-steamboat-orchard-river-valley-01-08/,Hua Ting Steamboat,$$$,"#01-08 Claymore Connect, 442 Orchard Road, 238879",Restaurant,Cantonese • Chinese • Steamboat
https://www.hungrygowhere.com/singapore/atrium-restaurant-tiong-bahru-outram/,Atrium Restaurant,$$$,"Level 4 Holiday Inn Singapore Atrium, 317 Outram Road, 169075",Restaurant,Asian • International • Western
https://www.hungrygowhere.com/singapore/wolfgang-s-steakhouse-by-wolfgang-zwiener/,Wolfgang's Steakhouse by Wolfgang Zwiener,$$$$,"#02-01 Intercontinental Singapore Robertson Quay, 1 Nanson Road, 238909",Restaurant,American • Steak and Grills • Western
https://www.hungrygowhere.com/singapore/morganfield-s-telok-blangah-harbourfront/,Morganfield's (Vivo City),$$,"#01-51A Vivocity, 1 Harbourfront Walk, 098585",Restaurant,American • Western
https://www.hungrygowhere.com/singapore/dian_xiao_er_tampines_1/,Dian Xiao Er (Tampines 1),$$,"#04-15 Tampines One, 10 Tampines Central 1, 529536",Restaurant,Asian • Chinese
https://www.hungrygowhere.com/singapore/town_restaurant/,Town (The Fullerton Hotel Singapore),$$$$,"Level 1 The Fullerton Hotel Singapore, 1 Fullerton Square, 049178",Restaurant,Asian • International
https://www.hungrygowhere.com/singapore/chilli-s-the-central-clarke-quay/,Chili's American Grills & Bar (Clarke Quay),$$,"#01-18 The Central, 6 Eu Tong Sen Street, 059817",Restaurant,American • Drinks • Steak and Grills • Western
https://www.hungrygowhere.com/singapore/muk-bang-korean-restaurant/,Muk-Bang Korean Restaurant,$,"#01-02 Viva Business Park, 750 Chai Chee Road, 469000",Restaurant,Halal • Korean
https://www.hungrygowhere.com/singapore/the-lobby-lounge/,The Lobby Lounge (Shangrila) (Shangri-La Hotel Singapore),$,"Lobby Level Shangri-la Hotel, Tower Wing, 22 Orange Grove Road, 258350",Cafe,Singaporean
https://www.hungrygowhere.com/singapore/guo-fu-steamboat-raffles-place-boat-quay/,Guo Fu Steamboat,$$,"#01-31/32/33 China Square Central, 20 Cross Street, 048422",Restaurant,Asian • Chinese
